,TractFIPS,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DIABETES,HIGHCHOL,KIDNEY,OBESITY,STROKE,BINGE,CSMOKING,LPA,SLEEP,MHLTH,PHLTH,ACCESS2,CHECKUP,CHOLSCREEN,DENTAL,City,Year
21,06037104310.0,15.6,24.6,3.9,8.9,4.6,4.9,11.9,30.3,2.9,31.0,2.8,18.5,14.5,28.4,37.8,15.6,14.6,30.5,66.0,80.8,51.1,Los Angeles,2020
22,06037104320.0,16.5,25.9,4.1,8.9,5.0,5.2,12.7,30.9,3.1,31.2,3.1,17.9,14.3,28.8,38.0,15.6,15.0,29.0,67.1,81.2,50.7,Los Angeles,2020
23,06037104401.0,16.6,25.1,4.2,8.8,5.2,5.2,12.9,31.6,3.2,31.2,3.0,17.9,14.4,29.7,37.5,15.9,15.7,30.7,66.6,81.2,50.7,Los Angeles,2020
24,06037104403.0,16.5,25.2,4.2,8.5,5.2,5.0,12.9,31.6,3.1,31.1,2.9,18.0,13.8,28.8,37.2,15.0,15.0,29.6,66.9,81.6,51.6,Los Angeles,2020
25,06037104404.0,17.1,25.6,3.9,9.3,5.6,5.9,14.0,31.7,3.4,33.6,3.2,17.3,16.6,32.2,38.8,17.3,17.4,32.9,65.8,79.5,45.0,Los Angeles,2020
26,06037104500.0,16.9,25.4,4.2,8.7,5.4,5.3,13.2,31.6,3.3,32.0,3.0,17.6,14.5,29.4,37.8,15.7,15.9,30.2,66.9,81.8,50.3,Los Angeles,2020
27,06037104610.0,15.8,23.9,3.8,9.0,5.0,5.2,12.5,30.1,3.1,32.1,2.9,18.3,15.5,30.5,38.4,16.6,16.0,32.6,65.2,80.2,47.6,Los Angeles,2020
28,06037104620.0,17.4,25.8,4.2,8.9,5.6,5.6,13.7,32.0,3.4,32.3,3.2,17.2,15.0,30.7,37.7,16.1,16.4,30.8,66.8,81.2,48.9,Los Angeles,2020
29,06037104701.0,19.3,28.2,3.7,10.8,6.6,7.8,16.6,33.3,4.1,37.7,4.0,15.2,21.0,38.9,41.1,21.6,22.4,38.5,65.7,76.5,35.9,Los Angeles,2020
30,06037104703.0,15.4,23.3,3.4,9.6,4.8,5.8,12.3,29.3,3.0,33.5,2.9,18.2,17.8,31.8,39.4,18.2,17.0,34.1,64.1,78.1,43.9,Los Angeles,2020
31,06037104704.0,17.2,25.4,4.0,9.4,4.9,5.6,12.7,29.6,3.1,33.4,3.2,17.2,15.9,27.9,39.8,16.0,15.4,25.6,68.2,82.6,50.3,Los Angeles,2020
32,06037104810.0,15.8,23.9,4.0,8.8,4.8,5.1,12.0,30.5,3.0,30.4,2.8,18.3,14.5,28.5,37.4,15.5,14.9,30.4,66.0,81.3,50.8,Los Angeles,2020
33,06037104821.0,14.6,23.2,3.8,8.4,4.2,4.4,11.0,29.6,2.7,30.1,2.4,19.1,13.3,26.3,37.2,14.7,13.4,26.9,66.1,81.4,54.5,Los Angeles,2020
34,06037104822.0,17.6,26.0,4.3,9.1,5.7,5.8,13.6,32.0,3.3,30.4,3.3,16.7,15.4,31.1,38.2,16.1,16.3,31.0,67.0,81.0,48.1,Los Angeles,2020
35,06037106010.0,18.4,26.3,5.1,8.5,5.0,5.2,11.4,32.3,2.9,28.5,2.9,17.8,12.3,22.4,36.5,13.3,13.3,18.5,70.1,85.3,61.4,Los Angeles,2020
36,06037106020.0,16.7,23.7,4.7,8.3,4.5,4.8,10.6,30.6,2.6,28.1,2.6,18.8,12.1,22.5,36.0,13.3,12.5,20.7,68.7,84.7,61.3,Los Angeles,2020
37,06037106111.0,18.0,25.0,5.3,8.3,4.6,4.9,10.5,31.9,2.6,27.0,2.6,18.3,11.6,20.4,35.3,12.3,12.2,15.7,70.5,86.8,65.0,Los Angeles,2020
38,06037106112.0,16.1,22.9,4.9,7.9,4.1,4.2,9.8,30.1,2.4,25.8,2.3,18.7,10.7,20.3,35.3,12.0,11.3,17.5,69.6,86.2,65.6,Los Angeles,2020
39,06037106113.0,17.6,24.5,5.2,8.2,4.9,4.9,11.0,31.3,2.8,27.4,2.7,18.2,11.7,22.9,35.3,12.7,12.6,20.5,69.5,86.0,61.8,Los Angeles,2020
40,06037106114.0,16.4,24.1,4.0,9.1,4.7,5.3,11.7,30.0,2.9,31.5,2.8,18.0,14.9,27.2,38.3,15.9,14.9,26.2,67.0,81.8,52.4,Los Angeles,2020
41,06037106403.0,15.4,23.8,4.2,8.5,4.3,4.6,10.6,30.5,2.6,28.5,2.5,19.4,13.0,25.3,36.4,14.3,13.3,26.4,66.5,82.4,56.8,Los Angeles,2020
42,06037106405.0,17.6,24.3,3.9,9.7,5.0,6.1,12.5,30.0,3.0,33.3,3.1,17.3,17.5,29.8,40.1,17.6,16.9,27.9,66.8,81.7,48.0,Los Angeles,2020
43,06037106406.0,16.7,23.1,5.2,7.9,4.2,4.4,9.5,30.1,2.4,26.0,2.4,19.1,11.1,20.7,35.5,12.2,11.4,18.6,69.4,86.5,65.2,Los Angeles,2020
44,06037106407.0,24.7,32.5,6.4,9.8,8.6,8.6,16.5,36.1,4.5,32.8,5.0,14.2,15.7,32.4,37.7,16.4,19.3,27.2,71.4,83.9,48.1,Los Angeles,2020
45,06037106408.0,13.9,21.9,3.2,9.0,3.6,4.5,10.2,27.6,2.5,31.4,2.3,18.7,15.3,27.3,39.4,16.6,14.2,27.5,65.4,79.4,51.1,Los Angeles,2020
46,06037106510.0,15.5,22.4,4.6,8.0,3.8,4.0,9.0,29.1,2.3,25.6,2.2,19.4,10.6,18.8,35.3,12.0,10.5,15.6,69.4,85.9,66.6,Los Angeles,2020
47,06037106520.0,17.7,24.9,4.7,8.8,5.1,5.5,12.0,31.3,3.0,30.2,2.9,18.1,14.0,26.9,36.9,14.8,14.6,26.1,67.7,83.3,54.5,Los Angeles,2020
48,06037106603.0,20.1,25.9,6.9,7.8,4.9,4.7,9.5,34.3,2.5,20.9,2.6,16.8,9.1,15.1,32.6,10.1,10.2,7.6,74.3,89.8,74.5,Los Angeles,2020
49,06037106604.0,18.3,25.7,4.4,9.2,5.7,6.1,13.6,31.7,3.3,32.4,3.3,17.0,15.9,29.8,38.4,16.1,16.5,27.8,67.4,82.4,49.1,Los Angeles,2020
50,06037106641.0,20.9,26.0,7.3,8.0,5.1,5.0,9.2,34.2,2.5,21.5,2.7,17.7,9.7,15.4,32.3,10.4,10.5,7.6,73.9,89.7,74.2,Los Angeles,2020
51,06037106642.0,20.9,26.1,7.2,8.0,5.1,5.0,9.3,33.4,2.6,22.5,2.7,18.0,10.0,16.3,33.1,10.8,10.8,9.1,73.2,88.9,72.6,Los Angeles,2020
52,06037106643.0,18.9,24.4,6.7,7.8,4.4,4.3,8.5,33.2,2.3,20.3,2.3,18.1,8.8,14.3,32.0,10.1,9.6,7.1,73.6,89.7,76.2,Los Angeles,2020
53,06037106645.0,22.8,28.5,8.0,7.9,5.9,5.5,10.3,35.7,2.9,22.3,3.0,16.2,9.7,17.0,32.3,10.5,11.3,8.5,75.1,90.0,72.7,Los Angeles,2020
54,06037106646.0,20.3,26.2,6.6,8.0,5.3,5.2,10.3,33.1,2.7,23.2,2.9,16.8,10.8,19.3,34.3,11.3,11.6,12.2,72.7,88.2,68.1,Los Angeles,2020
55,06037106648.0,16.8,24.8,4.1,9.1,5.1,5.4,12.6,30.9,3.1,31.9,2.9,17.7,14.9,28.7,38.2,16.2,15.8,28.1,67.0,81.5,51.4,Los Angeles,2020
56,06037106649.0,15.7,23.7,4.5,7.6,4.2,4.0,11.0,31.0,2.5,24.7,2.4,17.0,11.1,21.9,36.4,11.8,11.5,17.9,70.0,86.1,63.0,Los Angeles,2020
57,06037107010.0,16.5,24.2,4.2,8.7,4.8,5.1,11.9,30.7,2.9,30.5,2.8,18.4,13.7,27.3,37.3,15.3,14.7,27.6,67.0,82.2,53.6,Los Angeles,2020
58,06037107020.0,14.2,21.6,3.8,8.3,3.8,4.2,10.2,28.6,2.5,28.2,2.2,19.1,12.9,24.3,36.9,14.0,12.7,24.5,66.4,82.8,57.3,Los Angeles,2020
59,06037108101.0,21.7,26.5,7.4,8.0,5.3,5.2,10.0,34.9,2.6,21.1,2.8,16.1,9.9,16.1,33.0,10.2,10.8,7.5,74.7,90.3,73.0,Los Angeles,2020
60,06037108102.0,21.4,27.0,7.3,7.6,5.5,5.0,10.5,35.5,2.7,20.2,2.8,14.9,9.2,16.5,32.6,9.8,10.7,7.6,75.2,90.4,72.8,Los Angeles,2020
61,06037108103.0,19.4,24.9,6.8,7.3,4.6,4.2,9.4,34.6,2.3,18.9,2.4,16.2,8.2,14.4,32.0,9.0,9.2,6.4,74.8,90.8,76.3,Los Angeles,2020
62,06037108104.0,22.5,28.6,7.6,7.8,5.7,5.2,10.5,36.8,2.8,21.7,2.9,15.4,9.2,15.9,32.2,9.8,10.8,7.2,75.6,90.6,73.6,Los Angeles,2020
63,06037108201.0,16.3,22.8,5.7,6.7,3.7,3.3,8.6,32.5,2.0,17.1,2.0,15.6,7.6,13.7,33.2,8.3,8.1,6.2,74.1,90.4,76.9,Los Angeles,2020
64,06037108202.0,16.2,22.8,5.7,6.9,3.7,3.3,8.4,31.5,2.1,18.0,2.0,16.3,8.2,14.1,33.5,8.8,8.3,7.3,73.0,89.2,75.2,Los Angeles,2020
65,06037109100.0,24.4,30.5,8.5,8.0,7.2,6.4,12.4,35.5,3.6,23.6,3.9,14.6,9.8,23.6,33.0,11.2,13.5,18.6,74.7,89.2,64.9,Los Angeles,2020
66,06037109200.0,17.4,23.5,5.9,7.5,4.2,4.1,8.7,31.3,2.3,22.0,2.3,18.1,9.3,16.4,33.4,10.3,9.7,11.0,72.0,88.4,72.3,Los Angeles,2020
67,06037109300.0,18.2,25.2,5.7,7.7,4.7,4.5,10.0,32.1,2.5,24.2,2.5,17.8,10.6,19.0,35.1,11.3,11.0,13.2,71.6,87.3,67.9,Los Angeles,2020
68,06037109400.0,17.7,25.5,5.4,7.8,4.7,4.6,11.1,32.3,2.7,26.2,2.7,18.1,10.7,22.1,34.9,11.9,12.0,19.4,70.4,86.4,64.3,Los Angeles,2020
69,06037109601.0,15.8,22.9,5.0,7.4,4.1,3.9,9.8,30.0,2.4,24.9,2.3,19.1,10.1,19.8,35.2,11.3,10.5,17.6,69.9,86.5,66.6,Los Angeles,2020
70,06037109603.0,18.8,25.7,5.0,8.7,5.5,5.8,12.3,32.0,3.1,28.3,3.1,16.7,13.7,24.8,37.1,14.2,14.4,20.7,69.7,84.6,56.9,Los Angeles,2020
71,06037109604.0,18.1,25.8,5.5,8.0,4.8,4.7,10.5,32.1,2.7,26.3,2.7,18.1,11.1,20.9,35.7,12.2,11.9,16.1,70.7,86.0,64.9,Los Angeles,2020
72,06037109700.0,18.6,25.0,6.0,7.8,4.7,4.6,9.8,32.2,2.5,23.6,2.6,17.5,10.2,18.3,34.5,11.2,11.0,12.2,72.0,87.6,68.9,Los Angeles,2020
73,06037109800.0,19.3,25.7,5.9,8.1,5.2,5.3,10.7,32.7,2.7,24.9,2.9,17.3,11.9,20.7,35.3,12.1,12.2,14.8,71.3,87.1,65.0,Los Angeles,2020
74,06037111100.0,19.2,25.3,6.0,8.1,5.0,5.1,10.0,32.3,2.6,24.2,2.8,17.7,11.7,19.9,35.1,11.9,11.8,13.5,71.3,87.5,66.6,Los Angeles,2020
75,06037111201.0,20.5,26.4,6.9,8.0,5.2,5.1,9.7,33.7,2.7,22.9,2.8,17.3,10.2,17.6,33.3,10.9,11.0,10.5,73.0,88.5,70.8,Los Angeles,2020
76,06037111202.0,19.7,25.8,6.7,7.9,4.9,4.8,9.2,32.9,2.5,22.5,2.7,17.5,10.1,17.0,33.8,10.9,10.7,10.0,72.7,88.2,71.3,Los Angeles,2020
77,06037111204.0,20.6,26.6,7.7,7.4,4.9,4.3,9.1,34.9,2.5,20.0,2.5,16.6,7.7,14.0,31.1,9.0,9.3,6.7,75.5,90.8,77.4,Los Angeles,2020
78,06037111205.0,18.4,25.4,6.2,7.5,4.5,4.1,9.3,32.9,2.4,20.1,2.4,16.3,8.7,15.4,33.9,9.9,9.4,8.2,73.6,88.1,73.0,Los Angeles,2020
79,06037111206.0,21.8,27.6,7.5,7.9,5.7,5.4,10.1,34.8,2.8,21.9,3.0,16.8,10.1,17.4,32.9,10.7,11.2,9.5,74.1,89.3,71.6,Los Angeles,2020
80,06037111301.0,17.2,23.0,5.0,8.5,4.4,4.8,9.3,30.1,2.4,23.3,2.5,17.8,12.2,19.0,36.5,13.1,11.5,12.3,70.4,85.0,65.0,Los Angeles,2020
81,06037111302.0,21.0,27.0,7.2,8.0,5.7,5.2,9.9,33.2,2.8,21.9,3.0,16.5,9.8,18.0,33.6,11.3,11.2,10.1,73.8,87.9,69.7,Los Angeles,2020
82,06037111400.0,20.5,26.9,6.1,8.5,5.6,5.8,11.2,33.5,2.9,24.5,3.1,16.4,12.8,21.3,35.9,12.9,12.9,13.5,71.8,86.2,63.3,Los Angeles,2020
83,06037113101.0,24.3,29.7,8.1,8.3,6.5,6.3,11.2,36.3,3.1,23.8,3.4,16.0,10.9,18.9,33.3,11.3,12.5,9.6,74.9,89.6,69.4,Los Angeles,2020
84,06037113102.0,22.5,28.0,8.1,7.9,5.4,5.0,9.6,36.1,2.7,21.4,2.8,16.4,8.4,14.9,31.3,9.8,10.3,6.8,75.8,90.8,76.2,Los Angeles,2020
85,06037113211.0,22.6,27.3,8.0,8.1,5.1,5.2,9.2,35.4,2.6,22.1,2.8,17.3,9.3,14.6,31.8,10.1,10.4,6.7,74.9,90.5,75.7,Los Angeles,2020
86,06037113212.0,20.1,25.8,6.6,8.1,5.1,5.1,9.7,33.0,2.6,23.0,2.8,17.3,10.9,17.6,34.3,11.4,11.2,10.2,72.8,88.3,69.7,Los Angeles,2020
87,06037113213.0,18.5,25.2,6.1,7.8,4.6,4.6,9.2,32.4,2.4,22.4,2.5,18.0,10.7,17.1,34.8,11.1,10.5,10.1,72.0,87.9,70.4,Los Angeles,2020
88,06037113231.0,22.1,27.2,7.8,8.1,5.3,5.1,9.3,34.9,2.6,22.6,2.8,17.7,9.7,15.0,32.3,10.3,10.6,7.0,74.6,90.5,74.8,Los Angeles,2020
89,06037113232.0,22.1,27.7,7.7,8.0,5.6,5.4,9.9,35.0,2.8,22.6,2.9,17.1,10.1,16.5,32.8,10.5,11.1,8.6,74.3,89.9,72.7,Los Angeles,2020
90,06037113233.0,17.2,24.8,4.7,8.7,4.6,5.2,10.0,30.3,2.6,27.2,2.7,18.0,13.7,22.7,37.5,14.3,12.9,18.3,69.0,82.6,58.8,Los Angeles,2020
91,06037113234.0,19.1,25.7,5.4,8.4,5.4,5.8,11.4,32.1,2.9,26.6,3.0,16.9,13.4,23.2,36.8,13.5,13.5,18.7,70.0,84.8,59.2,Los Angeles,2020
92,06037113237.0,21.9,27.7,7.1,8.2,5.5,5.7,10.3,34.8,2.7,22.8,3.0,16.8,11.3,17.8,34.1,11.4,11.7,9.5,73.6,88.6,69.7,Los Angeles,2020
93,06037113301.0,22.3,28.0,8.1,7.7,5.9,5.1,9.9,35.1,2.9,21.3,3.0,16.0,8.6,16.0,31.7,9.9,10.5,8.1,75.4,90.0,73.9,Los Angeles,2020
94,06037113303.0,22.3,28.1,7.1,8.3,5.8,5.9,10.9,35.0,2.9,24.4,3.1,16.6,11.6,19.2,34.4,11.7,12.4,11.4,73.4,88.6,67.9,Los Angeles,2020
95,06037113321.0,15.9,22.9,4.7,8.2,3.7,4.2,8.5,30.0,2.1,23.8,2.1,18.8,11.6,17.3,36.2,12.3,10.5,11.3,69.9,84.9,67.4,Los Angeles,2020
96,06037113322.0,21.7,28.4,7.5,8.0,5.5,5.2,10.1,35.6,2.7,21.8,2.9,16.6,9.8,16.9,33.1,10.6,10.9,9.0,74.4,89.0,72.1,Los Angeles,2020
97,06037113401.0,19.1,25.3,6.1,8.0,5.0,4.9,10.1,32.4,2.7,23.4,2.7,17.1,10.5,18.6,34.3,11.4,11.4,12.6,72.0,87.5,68.0,Los Angeles,2020
98,06037113421.0,16.3,23.2,4.3,8.9,4.1,5.0,9.8,29.1,2.4,27.3,2.5,18.4,14.3,22.3,38.5,14.8,12.7,17.8,68.6,83.1,58.9,Los Angeles,2020
99,06037113422.0,17.3,25.3,5.0,8.4,4.4,4.9,9.8,31.7,2.4,25.1,2.5,18.1,13.0,20.5,36.8,13.0,11.9,15.0,69.8,84.2,63.2,Los Angeles,2020
100,06037115101.0,22.6,27.5,8.3,7.9,5.5,5.0,9.4,35.1,2.7,21.8,2.8,16.8,8.5,15.1,31.2,9.8,10.2,7.2,75.7,91.0,76.1,Los Angeles,2020
101,06037115103.0,4.4,9.9,0.9,11.3,0.9,2.3,2.3,10.3,1.0,20.4,0.7,21.6,10.6,15.5,38.1,20.9,7.6,13.9,66.9,69.4,60.0,Los Angeles,2020
102,06037115104.0,15.4,20.3,4.4,8.8,4.1,4.6,8.1,26.5,2.3,22.9,2.3,19.0,12.3,18.2,36.9,14.6,11.0,11.9,69.2,82.1,63.1,Los Angeles,2020
103,06037115201.0,15.9,21.5,4.7,8.3,4.2,4.4,8.3,27.8,2.3,22.4,2.3,18.1,11.4,17.8,36.1,13.2,10.6,11.6,69.7,83.0,64.6,Los Angeles,2020
104,06037115202.0,14.5,20.1,4.5,8.0,3.5,3.8,7.5,27.0,2.0,21.8,2.0,19.5,10.3,16.1,35.1,12.1,9.4,11.5,69.5,84.4,68.7,Los Angeles,2020
105,06037115301.0,21.6,27.9,7.6,7.9,5.5,5.2,9.8,34.7,2.7,21.6,2.9,16.6,9.8,16.7,33.1,10.6,10.8,8.9,74.4,89.0,72.1,Los Angeles,2020
106,06037115302.0,16.4,24.1,3.8,9.0,5.0,5.6,12.1,30.3,2.9,31.1,2.8,17.5,15.7,27.6,38.8,16.2,15.5,25.5,66.7,81.1,50.8,Los Angeles,2020
107,06037115401.0,19.0,25.5,5.2,9.0,5.2,5.8,10.8,31.6,2.8,27.3,3.0,17.4,14.1,22.5,37.1,14.3,13.5,16.5,69.8,84.1,59.4,Los Angeles,2020
108,06037115403.0,16.7,24.3,4.5,8.6,4.7,5.2,10.5,30.7,2.6,26.8,2.7,18.1,13.8,23.2,37.5,14.3,13.2,19.2,68.3,82.6,58.0,Los Angeles,2020
109,06037115404.0,16.9,25.0,4.9,8.2,4.4,4.6,9.9,31.1,2.5,25.4,2.5,18.3,11.9,20.6,36.5,12.7,11.6,15.9,70.0,84.5,63.8,Los Angeles,2020
110,06037117101.0,13.6,21.7,3.6,7.4,3.6,3.7,9.8,29.0,2.1,22.2,2.1,16.7,11.8,21.0,38.0,11.9,10.8,16.3,68.9,84.3,61.7,Los Angeles,2020
111,06037117102.0,18.7,25.9,5.2,8.4,5.2,5.4,11.7,32.6,2.9,26.9,2.9,16.9,12.9,23.0,36.8,13.2,13.4,18.1,70.4,85.7,60.5,Los Angeles,2020
112,06037117201.0,18.5,26.2,4.9,8.7,5.5,5.6,12.2,31.7,3.1,28.6,3.2,16.2,13.7,26.1,37.8,14.4,14.4,21.8,69.6,83.1,55.0,Los Angeles,2020
113,06037117202.0,17.8,26.5,6.0,7.2,4.6,4.0,9.7,33.5,2.4,21.3,2.4,17.1,8.9,16.9,34.1,9.8,9.8,10.9,72.8,87.8,71.6,Los Angeles,2020
114,06037117301.0,19.5,25.5,6.5,8.0,4.9,4.7,9.6,32.4,2.6,23.6,2.7,17.5,10.0,17.1,34.0,11.1,10.8,10.6,72.7,88.3,70.5,Los Angeles,2020
115,06037117302.0,20.8,26.6,6.9,8.2,5.4,5.4,10.0,33.5,2.7,23.2,2.9,17.1,10.8,18.4,34.0,11.5,11.5,10.9,72.9,88.0,69.0,Los Angeles,2020
116,06037117303.0,19.3,25.2,6.1,7.8,5.0,5.0,10.1,32.7,2.6,24.0,2.7,17.8,10.9,18.8,34.8,11.4,11.4,12.5,71.8,87.9,68.2,Los Angeles,2020
117,06037117404.0,20.0,26.9,5.7,8.3,5.5,5.7,11.5,33.5,2.9,26.1,3.0,17.0,12.8,21.4,36.4,12.8,13.1,13.9,71.4,86.5,62.8,Los Angeles,2020
118,06037117405.0,13.9,22.1,2.7,9.9,4.1,5.4,11.4,27.2,2.8,34.8,2.5,18.1,19.4,32.5,41.0,19.8,17.4,34.6,63.3,75.9,41.2,Los Angeles,2020
119,06037117407.0,13.9,22.9,2.6,9.9,4.1,5.5,11.6,27.8,2.8,35.4,2.6,18.0,20.1,33.9,41.3,20.1,17.7,36.5,62.5,74.2,39.2,Los Angeles,2020
120,06037117408.0,16.3,24.6,3.3,9.8,5.1,6.2,12.8,29.8,3.1,34.2,3.1,17.2,18.7,31.5,40.6,18.8,17.6,30.0,65.6,77.9,43.5,Los Angeles,2020
121,06037117510.0,16.1,25.1,3.3,9.5,5.1,6.0,13.0,30.2,3.1,33.3,3.1,17.0,18.7,32.5,41.1,18.7,17.7,31.4,65.3,77.3,42.5,Los Angeles,2020
122,06037117520.0,14.1,21.2,2.8,9.8,4.1,5.3,11.2,26.6,2.7,34.1,2.5,17.8,18.7,31.4,41.1,19.2,16.8,31.9,64.1,77.6,43.1,Los Angeles,2020
123,06037117530.0,15.2,22.9,3.5,8.7,4.4,4.9,11.6,29.1,2.7,29.3,2.6,17.4,15.7,28.0,39.6,15.6,14.6,26.0,66.4,81.2,50.3,Los Angeles,2020
124,06037119001.0,17.1,24.1,4.6,8.2,4.8,5.0,11.9,31.5,2.7,26.4,2.8,17.1,13.3,25.5,37.4,13.5,13.7,22.8,68.5,84.8,57.1,Los Angeles,2020
125,06037119002.0,15.4,23.3,4.3,8.1,4.4,4.4,10.9,30.3,2.6,27.4,2.5,18.8,12.2,24.8,36.1,13.2,12.6,25.1,67.2,83.3,57.9,Los Angeles,2020
126,06037119201.0,15.9,22.9,4.2,8.4,4.6,4.7,11.6,29.8,2.8,29.3,2.6,18.4,13.0,25.7,37.2,14.4,13.9,25.1,67.4,83.4,56.1,Los Angeles,2020
127,06037119202.0,15.8,23.9,4.1,8.5,4.5,4.7,11.6,30.6,2.8,29.3,2.6,18.5,13.2,26.3,37.0,14.6,14.0,26.8,67.1,82.4,55.2,Los Angeles,2020
128,06037119310.0,19.7,27.9,5.2,8.7,6.1,6.1,13.9,33.7,3.4,28.6,3.5,15.6,13.9,27.7,37.8,14.5,15.4,23.7,70.2,84.1,53.8,Los Angeles,2020
129,06037119320.0,15.0,22.8,3.5,8.7,4.4,5.0,11.4,29.0,2.6,28.7,2.6,17.3,15.8,26.9,39.5,15.6,14.4,25.4,66.4,80.5,50.6,Los Angeles,2020
130,06037119340.0,14.4,23.1,2.6,10.3,4.6,6.3,12.3,27.7,3.1,36.7,2.9,17.8,22.3,36.1,42.0,21.9,19.8,38.7,61.8,72.9,35.3,Los Angeles,2020
131,06037119341.0,17.5,25.2,4.2,8.5,5.3,5.5,13.3,32.0,3.0,26.2,3.1,14.9,14.9,27.9,39.1,14.6,14.9,21.4,69.4,83.2,52.5,Los Angeles,2020
132,06037119342.0,15.1,24.4,3.4,8.9,4.3,4.9,11.8,30.2,2.7,30.7,2.6,17.2,15.2,28.0,39.2,16.1,15.0,26.1,66.7,79.6,50.7,Los Angeles,2020
